BioStack-api-tls-fix	REG	6c62ee9	agent/fix-api-tls	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=88/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-14 22:16:43 -0400|m0r6aN|fix: restore API custom-domain TLS binding
BioStack-billing-tier	NO_GIT	-	-	-	-	-	files=0;MB=1	-	-	-	-
BioStack-biort01-complete-20260727	REG	b918307	codex/biort01-fail-closed-complete-20260727	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=50/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-27 12:08:43 -0400|m0r6aN|Fix fail-closed Keon receipt atomicity
BioStack-biort01-fail-closed-receipts-20260726	REG	4564cde	codex/biort01-fail-closed-receipts-20260726	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=58/1	uniqpatch=1	NO_REMOTE;unpushed=-	2026-07-26 14:03:08 -0400|m0r6aN|fix(keon): fail closed on offline receipt issuance
BioStack-calculator-syringe-vial	REG	19d2bf7	codex/calculator-syringe-vial	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=160/3	uniqpatch=1	NO_REMOTE;unpushed=-	2026-07-13 07:11:31 -0400|m0r6aN|test: harden calculator visual accessibility coverage
BioStack-ci-kompress	REG	49e188c	codex/ci-kompress-restore	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=167/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-11 14:55:38 -0400|m0r6aN|fix(ci): make Kompress restore reproducible
BioStack-ci-lockfix	REG	fef7f22	codex/fix-frontend-ci-lockfile	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=36/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-08-08 10:41:02 -0400|m0r6aN|Regenerate frontend lockfile
BioStack-ci-sidecar-audit-hotfix	REG	8ee4977	codex/fix-sidecar-audit-deploy	origin/codex/fix-sidecar-audit-deploy	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=24/2	uniqpatch=2	REMOTE_EXISTS;unpushed=0	2026-08-28 13:38:24 -0400|m0r6aN|Fix knowledge route params test contract
BioStack-commercial-readiness	REG	7d9f58f	codex/commercial-readiness	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=167/2	uniqpatch=2	NO_REMOTE;unpushed=-	2026-07-13 07:05:46 -0400|m0r6aN|security: remove committed credential defaults
BioStack-export-bundle-pr	BROKEN_GITLINK	REG	-	-	-	-	-	-	-	-	-
BioStack-frontend-dependency-repair-20260725	REG	29fbc88	codex/frontend-dependency-repair-20260725	origin/codex/frontend-dependency-repair-20260725	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=80/2	uniqpatch=1	REMOTE_EXISTS;unpushed=0	2026-07-25 10:23:49 -0400|m0r6aN|Update frontend production dependencies
BioStack-frontend-lockfile-hotfix-20260725	REG	0406ca2	codex/frontend-lockfile-hotfix-20260725	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=78/1	uniqpatch=1	NO_REMOTE;unpushed=-	2026-07-25 10:35:36 -0400|m0r6aN|Fix npm 10 frontend lockfile
BioStack-go-live-audit-021-20260726	REG	2cf8af6	codex/keo66-live-interaction-hotfix-20260727	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=52/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-27 07:58:05 -0400|m0r6aN|Fix production interaction checks
BioStack-governance-p1	REG	456fed2	codex/biostack-governance-p1	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=85/15	uniqpatch=14	NO_REMOTE;unpushed=-	2026-07-16 12:41:38 -0400|m0r6aN|docs: bootstrap governed delivery
BioStack-governed-delivery-charter	REG	d230ce9	codex/biostack-governed-delivery-charter	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=85/14	uniqpatch=13	NO_REMOTE;unpushed=-	2026-07-16 12:27:08 -0400|m0r6aN|docs: authorize P1 dispatch
BioStack-keo64-claude	REG	b389db7	claude/keo-64-release-ci	origin/main	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=153/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-13 15:50:44 -0400|m0r6aN|fix(frontend): stabilize tools validation
BioStack-keo65-security	REG	fddf25e	codex/keo-65-security-review	origin/main	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=154/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-13 13:37:41 -0400|m0r6aN|docs(security): record KEO-65 defensive review
BioStack-keo66-stackreview-protocolid-027-20260726	NO_GIT	-	-	-	-	-	files=1149;MB=26	-	-	-	-
BioStack-keo66-stackreview-protocolid-028-20260726	BROKEN_GITLINK	UNREG	-	-	-	-	-	-	-	-	-
BioStack-keo66-stackreview-protocolid-sparse-029-20260726	REG	53ed0df	codex/keo66-stackreview-protocolid-sparse-20260726	origin/main	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=58/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-26 12:45:33 -0400|m0r6aN|Authorize Sandy for NCCIH manual review (#232)
BioStack-keo66	REG	186d8bf	codex/keo-66-customer-surfaces	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=137/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-13 17:28:03 -0400|m0r6aN|fix: qualify customer-facing capabilities
BioStack-keo67	REG	fd79d7f	codex/keo-67-product-contract	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=136/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-13 18:04:23 -0400|m0r6aN|feat: establish product contract v1
